,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_and_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,other_debtors_or_guarantors,property,age_in_years,other_installment_plans,housing,creditability
251,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),666,... >= 1000 DM,4 <= ... < 7 years,3,none,real estate,39,none,own,0
252,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,2251,... < 100 DM,1 <= ... < 4 years,1,none,"car or other, not in attribute Savings account/bonds",46,none,own,0
253,0 <= ... < 200 DM,30,existing credits paid back duly till now,car (new),2150,... < 100 DM,1 <= ... < 4 years,4,guarantor,unknown / no property,24,bank,own,1
254,no checking account,24,delay in paying off in the past,furniture/equipment,4151,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,building society savings agreement/ life insurance,35,none,own,0
255,0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,2030,unknown/ no savings account,4 <= ... < 7 years,2,none,"car or other, not in attribute Savings account/bonds",24,none,own,0
256,0 <= ... < 200 DM,60,delay in paying off in the past,radio/television,7418,unknown/ no savings account,1 <= ... < 4 years,1,none,real estate,27,none,own,0
257,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2684,... < 100 DM,1 <= ... < 4 years,4,none,real estate,35,none,own,0
258,... < 0 DM,12,all credits at this bank paid back duly,radio/television,2149,... < 100 DM,1 <= ... < 4 years,4,none,unknown / no property,29,none,for free,1
259,no checking account,15,existing credits paid back duly till now,car (used),3812,100 <= ... < 500 DM,... < 1 year,1,none,"car or other, not in attribute Savings account/bonds",23,none,own,0
260,no checking account,11,critical account/ other credits existing (not at this bank),radio/television,1154,100 <= ... < 500 DM,unemployed,4,none,real estate,57,none,own,0
261,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1657,... < 100 DM,1 <= ... < 4 years,2,none,real estate,27,none,own,0
262,... < 0 DM,24,existing credits paid back duly till now,radio/television,1603,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",55,none,own,0
263,... < 0 DM,18,critical account/ other credits existing (not at this bank),car (new),5302,... < 100 DM,... >= 7 years,2,none,unknown / no property,36,none,for free,0
264,no checking account,12,critical account/ other credits existing (not at this bank),education,2748,... < 100 DM,... >= 7 years,2,none,unknown / no property,57,bank,for free,0
265,no checking account,10,critical account/ other credits existing (not at this bank),car (new),1231,... < 100 DM,... >= 7 years,3,none,real estate,32,none,own,0
266,0 <= ... < 200 DM,15,existing credits paid back duly till now,radio/television,802,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",37,none,own,1
267,no checking account,36,critical account/ other credits existing (not at this bank),business,6304,unknown/ no savings account,... >= 7 years,4,none,real estate,36,none,own,0
268,no checking account,24,existing credits paid back duly till now,radio/television,1533,... < 100 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",38,stores,own,0
269,... < 0 DM,14,existing credits paid back duly till now,car (new),8978,... < 100 DM,... >= 7 years,1,none,building society savings agreement/ life insurance,45,none,own,1
270,no checking account,24,existing credits paid back duly till now,radio/television,999,unknown/ no savings account,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",25,none,own,0
271,no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/ no savings account,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,32,none,own,0
272,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1402,500 <= ... < 1000 DM,4 <= ... < 7 years,3,none,"car or other, not in attribute Savings account/bonds",37,none,rent,0
273,0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/ no savings account,unemployed,4,co-applicant,unknown / no property,36,none,for free,0
274,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,3060,... < 100 DM,4 <= ... < 7 years,4,none,real estate,28,none,own,1
275,... < 0 DM,30,existing credits paid back duly till now,repairs,11998,... < 100 DM,... < 1 year,1,none,unknown / no property,34,none,own,1
276,no checking account,9,existing credits paid back duly till now,radio/television,2697,... < 100 DM,1 <= ... < 4 years,1,none,real estate,32,none,own,0
277,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,2404,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",26,none,own,0
278,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1262,unknown/ no savings account,... >= 7 years,2,none,building society savings agreement/ life insurance,49,none,own,0
279,no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,... < 100 DM,... < 1 year,1,none,building society savings agreement/ life insurance,32,none,own,1
280,no checking account,24,existing credits paid back duly till now,radio/television,1901,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",29,none,rent,0
281,no checking account,15,critical account/ other credits existing (not at this bank),car (used),3368,... >= 1000 DM,... >= 7 years,3,none,unknown / no property,23,none,rent,0
282,no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,... < 100 DM,1 <= ... < 4 years,4,none,real estate,50,none,own,0
283,... >= 200 DM / salary assignments for at least 1 year,18,all credits at this bank paid back duly,radio/television,1445,unknown/ no savings account,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",49,bank,own,0
284,no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,1520,unknown/ no savings account,... >= 7 years,4,none,building society savings agreement/ life insurance,63,none,own,0
285,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),car (new),3878,100 <= ... < 500 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",37,none,own,0
286,... < 0 DM,47,existing credits paid back duly till now,car (new),10722,... < 100 DM,... < 1 year,1,none,real estate,35,none,own,0
287,... < 0 DM,48,existing credits paid back duly till now,car (used),4788,... < 100 DM,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,26,none,own,0
288,0 <= ... < 200 DM,48,delay in paying off in the past,others,7582,100 <= ... < 500 DM,unemployed,2,none,unknown / no property,31,none,for free,0
289,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1092,... < 100 DM,1 <= ... < 4 years,4,guarantor,real estate,49,none,own,0
290,... < 0 DM,24,delay in paying off in the past,radio/television,1024,... < 100 DM,... < 1 year,4,none,real estate,48,stores,own,1
291,no checking account,12,existing credits paid back duly till now,business,1076,... < 100 DM,1 <= ... < 4 years,2,none,real estate,26,none,own,0
292,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),9398,... < 100 DM,... < 1 year,1,none,"car or other, not in attribute Savings account/bonds",28,none,rent,1
293,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6419,... < 100 DM,... >= 7 years,2,none,unknown / no property,44,none,for free,0
294,... >= 200 DM / salary assignments for at least 1 year,42,critical account/ other credits existing (not at this bank),car (used),4796,... < 100 DM,... >= 7 years,4,none,unknown / no property,56,none,for free,0
295,no checking account,48,critical account/ other credits existing (not at this bank),business,7629,unknown/ no savings account,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",46,bank,own,0
296,0 <= ... < 200 DM,48,existing credits paid back duly till now,furniture/equipment,9960,... < 100 DM,... < 1 year,1,none,"car or other, not in attribute Savings account/bonds",26,none,own,1
297,no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/ no savings account,... < 1 year,1,none,"car or other, not in attribute Savings account/bonds",20,none,rent,0
298,no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/ no savings account,... >= 7 years,4,co-applicant,building society savings agreement/ life insurance,45,none,own,0
299,no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,... < 100 DM,1 <= ... < 4 years,3,none,real estate,43,none,own,0
300,0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),furniture/equipment,2745,... >= 1000 DM,4 <= ... < 7 years,3,none,"car or other, not in attribute Savings account/bonds",32,none,own,0
301,no checking account,6,existing credits paid back duly till now,car (new),672,... < 100 DM,unemployed,1,none,real estate,54,none,own,0
302,0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,radio/television,3804,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",42,none,own,1
303,... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car (new),1344,unknown/ no savings account,4 <= ... < 7 years,4,none,real estate,37,bank,own,1
304,... < 0 DM,10,critical account/ other credits existing (not at this bank),car (new),1038,... < 100 DM,4 <= ... < 7 years,4,co-applicant,building society savings agreement/ life insurance,49,none,own,0
305,no checking account,48,critical account/ other credits existing (not at this bank),car (new),10127,500 <= ... < 1000 DM,1 <= ... < 4 years,2,none,unknown / no property,44,bank,for free,1
306,no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,... >= 1000 DM,1 <= ... < 4 years,4,none,real estate,33,none,own,0
307,no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/ no savings account,4 <= ... < 7 years,2,none,building society savings agreement/ life insurance,24,stores,rent,0
308,... < 0 DM,12,existing credits paid back duly till now,radio/television,727,100 <= ... < 500 DM,... < 1 year,4,none,unknown / no property,33,none,own,1
309,0 <= ... < 200 DM,8,existing credits paid back duly till now,furniture/equipment,1237,... < 100 DM,1 <= ... < 4 years,3,none,real estate,24,none,own,1
310,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),276,... < 100 DM,1 <= ... < 4 years,4,none,real estate,22,none,rent,0
311,0 <= ... < 200 DM,48,existing credits paid back duly till now,others,5381,unknown/ no savings account,unemployed,3,none,unknown / no property,40,bank,for free,0
312,no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",25,stores,own,0
313,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,3749,... < 100 DM,... < 1 year,2,none,"car or other, not in attribute Savings account/bonds",26,none,own,0
314,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),685,... < 100 DM,4 <= ... < 7 years,2,none,"car or other, not in attribute Savings account/bonds",25,bank,own,1
315,... >= 200 DM / salary assignments for at least 1 year,4,existing credits paid back duly till now,car (new),1494,unknown/ no savings account,... < 1 year,1,none,real estate,29,none,own,0
316,... < 0 DM,36,all credits at this bank paid back duly,furniture/equipment,2746,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",31,bank,own,1
317,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,708,... < 100 DM,1 <= ... < 4 years,2,guarantor,building society savings agreement/ life insurance,38,none,own,0
318,0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4351,unknown/ no savings account,1 <= ... < 4 years,1,none,building society savings agreement/ life insurance,48,none,own,0
319,no checking account,12,critical account/ other credits existing (not at this bank),education,701,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",32,none,own,0
320,... < 0 DM,15,delay in paying off in the past,furniture/equipment,3643,... < 100 DM,... >= 7 years,1,none,building society savings agreement/ life insurance,27,none,own,0
321,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),4249,... < 100 DM,unemployed,4,none,"car or other, not in attribute Savings account/bonds",28,none,own,1
322,... < 0 DM,24,existing credits paid back duly till now,radio/television,1938,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,32,none,own,1
323,... < 0 DM,24,existing credits paid back duly till now,car (used),2910,... < 100 DM,4 <= ... < 7 years,2,none,unknown / no property,34,none,for free,0
324,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2659,... >= 1000 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",28,none,own,0
325,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1028,... < 100 DM,1 <= ... < 4 years,4,none,real estate,36,none,own,0
326,... < 0 DM,8,critical account/ other credits existing (not at this bank),car (new),3398,... < 100 DM,4 <= ... < 7 years,1,none,real estate,39,none,own,0
327,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,5801,unknown/ no savings account,... >= 7 years,2,none,building society savings agreement/ life insurance,49,none,rent,0
328,no checking account,24,existing credits paid back duly till now,car (new),1525,... >= 1000 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",34,none,own,0
329,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,4473,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",31,none,own,0
330,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,1068,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",28,none,own,0
331,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6615,... < 100 DM,unemployed,2,none,unknown / no property,75,none,for free,0
332,no checking account,18,critical account/ other credits existing (not at this bank),education,1864,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,real estate,30,none,own,1
333,0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= ... < 500 DM,... < 1 year,4,none,building society savings agreement/ life insurance,24,none,own,1
334,no checking account,48,critical account/ other credits existing (not at this bank),car (used),11590,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",24,bank,rent,1
335,... < 0 DM,24,no credits taken/ all credits paid back duly,furniture/equipment,4110,... < 100 DM,... >= 7 years,3,none,unknown / no property,23,bank,rent,1
336,... < 0 DM,6,critical account/ other credits existing (not at this bank),furniture/equipment,3384,... < 100 DM,1 <= ... < 4 years,1,none,real estate,44,none,rent,1
337,0 <= ... < 200 DM,13,existing credits paid back duly till now,radio/television,2101,... < 100 DM,... < 1 year,2,guarantor,building society savings agreement/ life insurance,23,none,own,0
338,... < 0 DM,15,existing credits paid back duly till now,domestic appliances,1275,unknown/ no savings account,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",24,none,rent,1
339,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4169,... < 100 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,28,none,own,0
340,0 <= ... < 200 DM,10,existing credits paid back duly till now,furniture/equipment,1521,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",31,none,own,0
341,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),education,5743,... < 100 DM,... < 1 year,2,none,unknown / no property,24,none,for free,0
342,... < 0 DM,21,existing credits paid back duly till now,furniture/equipment,3599,... < 100 DM,4 <= ... < 7 years,1,none,"car or other, not in attribute Savings account/bonds",26,none,rent,0
343,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,3213,500 <= ... < 1000 DM,... < 1 year,1,none,real estate,25,none,rent,0
344,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,4439,... < 100 DM,... >= 7 years,1,co-applicant,real estate,33,bank,own,0
345,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),3949,... < 100 DM,... < 1 year,1,guarantor,building society savings agreement/ life insurance,37,none,own,0
346,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1459,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",43,none,own,0
347,0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,882,... < 100 DM,... < 1 year,4,guarantor,real estate,23,none,own,0
348,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,3758,500 <= ... < 1000 DM,unemployed,1,none,unknown / no property,23,none,rent,0
349,no checking account,6,delay in paying off in the past,business,1743,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,real estate,34,none,own,0
350,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),education,1136,... >= 1000 DM,... >= 7 years,4,none,unknown / no property,32,none,for free,1
351,no checking account,9,existing credits paid back duly till now,domestic appliances,1236,... < 100 DM,... < 1 year,1,none,real estate,23,none,rent,0
352,0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,959,... < 100 DM,1 <= ... < 4 years,1,none,"car or other, not in attribute Savings account/bonds",29,none,own,1
353,no checking account,18,critical account/ other credits existing (not at this bank),car (used),3229,unknown/ no savings account,unemployed,2,none,unknown / no property,38,none,own,0
354,... < 0 DM,12,no credits taken/ all credits paid back duly,radio/television,6199,... < 100 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,28,none,rent,1
355,no checking account,10,existing credits paid back duly till now,education,727,500 <= ... < 1000 DM,... >= 7 years,4,none,unknown / no property,46,none,for free,0
356,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1246,... < 100 DM,... < 1 year,4,none,real estate,23,stores,own,1
357,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,2331,unknown/ no savings account,... >= 7 years,1,co-applicant,real estate,49,none,own,0
358,no checking account,36,delay in paying off in the past,radio/television,4463,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",26,none,own,1
359,no checking account,12,existing credits paid back duly till now,radio/television,776,... < 100 DM,1 <= ... < 4 years,4,none,real estate,28,none,own,0
360,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,2406,... < 100 DM,4 <= ... < 7 years,4,none,real estate,23,none,rent,1
361,0 <= ... < 200 DM,18,existing credits paid back duly till now,education,1239,unknown/ no savings account,1 <= ... < 4 years,4,none,unknown / no property,61,none,for free,0
362,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,3399,unknown/ no savings account,... >= 7 years,2,none,"car or other, not in attribute Savings account/bonds",37,none,own,0
363,... >= 200 DM / salary assignments for at least 1 year,12,delay in paying off in the past,car (new),2247,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",36,stores,own,0
364,no checking account,6,existing credits paid back duly till now,furniture/equipment,1766,... < 100 DM,1 <= ... < 4 years,1,none,building society savings agreement/ life insurance,21,none,rent,0
365,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2473,... < 100 DM,unemployed,4,none,"car or other, not in attribute Savings account/bonds",25,none,own,1
366,no checking account,12,existing credits paid back duly till now,business,1542,... < 100 DM,4 <= ... < 7 years,2,none,"car or other, not in attribute Savings account/bonds",36,none,own,0
367,no checking account,18,critical account/ other credits existing (not at this bank),car (used),3850,... < 100 DM,4 <= ... < 7 years,3,none,"car or other, not in attribute Savings account/bonds",27,none,own,0
368,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,3650,... < 100 DM,... < 1 year,1,none,"car or other, not in attribute Savings account/bonds",22,none,rent,0
369,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,3446,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",42,none,own,1
370,0 <= ... < 200 DM,18,existing credits paid back duly till now,furniture/equipment,3001,... < 100 DM,4 <= ... < 7 years,2,none,real estate,40,none,rent,0
371,no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/ no savings account,1 <= ... < 4 years,4,none,real estate,36,none,own,0
372,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,6070,... < 100 DM,... >= 7 years,3,none,"car or other, not in attribute Savings account/bonds",33,none,own,0
373,no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2146,... < 100 DM,... < 1 year,1,none,real estate,23,none,rent,0
374,no checking account,60,critical account/ other credits existing (not at this bank),car (new),13756,unknown/ no savings account,... >= 7 years,2,none,unknown / no property,63,bank,for free,0
375,0 <= ... < 200 DM,60,all credits at this bank paid back duly,others,14782,100 <= ... < 500 DM,... >= 7 years,3,none,unknown / no property,60,bank,for free,1
376,... < 0 DM,48,all credits at this bank paid back duly,business,7685,... < 100 DM,4 <= ... < 7 years,2,guarantor,"car or other, not in attribute Savings account/bonds",37,none,rent,1
377,no checking account,18,delay in paying off in the past,radio/television,2320,... < 100 DM,unemployed,2,none,real estate,34,none,own,0
378,no checking account,7,delay in paying off in the past,radio/television,846,unknown/ no savings account,... >= 7 years,3,none,unknown / no property,36,none,for free,0
379,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),14318,... < 100 DM,... >= 7 years,4,none,unknown / no property,57,none,for free,1
380,no checking account,6,critical account/ other credits existing (not at this bank),car (new),362,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",52,none,own,0
381,... < 0 DM,20,existing credits paid back duly till now,furniture/equipment,2212,unknown/ no savings account,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",39,none,own,0
382,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),12976,... < 100 DM,unemployed,3,none,unknown / no property,38,none,for free,1
383,no checking account,22,existing credits paid back duly till now,car (new),1283,unknown/ no savings account,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,25,none,rent,0
384,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,car (new),1330,... < 100 DM,... < 1 year,4,none,real estate,26,none,own,0
385,no checking account,30,delay in paying off in the past,business,4272,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,building society savings agreement/ life insurance,26,none,own,0
386,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,2238,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",25,none,own,0
387,no checking account,18,existing credits paid back duly till now,radio/television,1126,unknown/ no savings account,... < 1 year,4,none,real estate,21,none,rent,0
388,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,7374,... < 100 DM,unemployed,4,none,building society savings agreement/ life insurance,40,stores,own,0
389,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),business,2326,500 <= ... < 1000 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",27,bank,own,0
390,no checking account,9,existing credits paid back duly till now,business,1449,... < 100 DM,4 <= ... < 7 years,3,none,"car or other, not in attribute Savings account/bonds",27,none,own,0
391,no checking account,18,existing credits paid back duly till now,car (new),1820,... < 100 DM,1 <= ... < 4 years,2,none,building society savings agreement/ life insurance,30,none,own,0
392,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,983,... >= 1000 DM,... < 1 year,1,none,real estate,19,none,rent,0
393,... < 0 DM,36,existing credits paid back duly till now,car (new),3249,... < 100 DM,4 <= ... < 7 years,2,none,unknown / no property,39,bank,for free,0
394,... < 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1957,... < 100 DM,4 <= ... < 7 years,1,none,"car or other, not in attribute Savings account/bonds",31,none,own,0
395,no checking account,9,critical account/ other credits existing (not at this bank),furniture/equipment,2406,... < 100 DM,unemployed,2,none,"car or other, not in attribute Savings account/bonds",31,none,own,0
396,0 <= ... < 200 DM,39,delay in paying off in the past,education,11760,100 <= ... < 500 DM,4 <= ... < 7 years,2,none,unknown / no property,32,none,rent,0
397,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,2578,... < 100 DM,unemployed,3,none,unknown / no property,55,none,for free,0
398,... < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,2348,... < 100 DM,1 <= ... < 4 years,3,none,building society savings agreement/ life insurance,46,none,own,0
399,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1223,... < 100 DM,... >= 7 years,1,none,real estate,46,none,rent,1
400,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1516,... >= 1000 DM,1 <= ... < 4 years,4,none,real estate,43,none,own,0
401,no checking account,18,existing credits paid back duly till now,radio/television,1473,... < 100 DM,... < 1 year,3,none,real estate,39,none,own,0
402,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),business,1887,unknown/ no savings account,1 <= ... < 4 years,4,none,real estate,28,bank,own,0
403,no checking account,24,delay in paying off in the past,business,8648,... < 100 DM,... < 1 year,2,none,"car or other, not in attribute Savings account/bonds",27,bank,own,1
404,no checking account,14,delay in paying off in the past,car (new),802,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",27,none,own,0
405,0 <= ... < 200 DM,18,delay in paying off in the past,car (new),2899,unknown/ no savings account,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",43,none,own,0
406,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,2039,... < 100 DM,... < 1 year,1,none,building society savings agreement/ life insurance,22,none,own,1
407,no checking account,24,critical account/ other credits existing (not at this bank),car (used),2197,unknown/ no savings account,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",43,none,own,0
408,... < 0 DM,15,existing credits paid back duly till now,radio/television,1053,... < 100 DM,... < 1 year,4,none,real estate,27,none,own,0
409,no checking account,24,existing credits paid back duly till now,radio/television,3235,500 <= ... < 1000 DM,... >= 7 years,3,none,"car or other, not in attribute Savings account/bonds",26,none,own,0
410,... >= 200 DM / salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car (new),939,500 <= ... < 1000 DM,4 <= ... < 7 years,4,none,real estate,28,none,own,1
411,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,1967,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",20,none,own,0
412,no checking account,33,critical account/ other credits existing (not at this bank),car (used),7253,... < 100 DM,4 <= ... < 7 years,3,none,"car or other, not in attribute Savings account/bonds",35,none,own,0
413,no checking account,12,critical account/ other credits existing (not at this bank),business,2292,... < 100 DM,unemployed,4,none,"car or other, not in attribute Savings account/bonds",42,stores,own,1
414,no checking account,10,existing credits paid back duly till now,car (new),1597,500 <= ... < 1000 DM,1 <= ... < 4 years,3,none,unknown / no property,40,none,rent,0
415,... < 0 DM,24,existing credits paid back duly till now,car (new),1381,unknown/ no savings account,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,35,none,own,1
416,no checking account,36,critical account/ other credits existing (not at this bank),car (used),5842,... < 100 DM,... >= 7 years,2,none,building society savings agreement/ life insurance,35,none,own,0
417,... < 0 DM,12,existing credits paid back duly till now,car (new),2579,... < 100 DM,... < 1 year,4,none,real estate,33,none,own,1
418,... < 0 DM,18,delay in paying off in the past,education,8471,unknown/ no savings account,1 <= ... < 4 years,1,none,"car or other, not in attribute Savings account/bonds",23,none,rent,0
419,no checking account,21,existing credits paid back duly till now,car (new),2782,500 <= ... < 1000 DM,4 <= ... < 7 years,1,none,"car or other, not in attribute Savings account/bonds",31,bank,own,0
420,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),1042,unknown/ no savings account,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,33,none,own,1
421,no checking account,15,existing credits paid back duly till now,car (new),3186,... >= 1000 DM,4 <= ... < 7 years,2,none,"car or other, not in attribute Savings account/bonds",20,none,rent,0
422,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (used),2028,unknown/ no savings account,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",30,none,own,0
423,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),958,... < 100 DM,4 <= ... < 7 years,2,none,real estate,47,none,own,0
424,no checking account,21,delay in paying off in the past,furniture/equipment,1591,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,real estate,34,none,own,0
425,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,2762,unknown/ no savings account,... >= 7 years,1,none,building society savings agreement/ life insurance,25,bank,own,1
426,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),2779,... < 100 DM,1 <= ... < 4 years,1,none,"car or other, not in attribute Savings account/bonds",21,none,rent,0
427,no checking account,28,critical account/ other credits existing (not at this bank),radio/television,2743,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",29,none,own,0
428,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1149,... >= 1000 DM,1 <= ... < 4 years,4,none,real estate,46,none,own,0
